asc_file,participant,asc_trials,clean_merged_trials,clean_candidate_bins
k01.asc,К01,76,1,105
k01_2.asc,К01,69,0,0
k02.asc,К02,71,0,0
k03.asc,К03,70,0,0
k03_2.asc,К03,70,0,0
k04.asc,К04,69,0,0
k04_1.asc,К04,68,1,115
k05.asc,К05,91,0,0
k06.asc,К06,67,1,91
k06_1.asc,К06,68,0,0
k07.asc,К07,77,0,0
k07_2.asc,К07,69,1,107
k08_2_p2.asc,К08,159,0,0
k09.asc,К09,67,0,0
k09_2.asc,К09,67,0,0
k10.asc,К10,74,0,0
k10_1.asc,К10,71,0,0
k11.asc,К11,71,0,0
k11_2.asc,К11,70,0,0
k13.asc,К13,73,2,256
k13_2.asc,К13,78,0,0
k14.asc,К14,88,0,0
k14_1.asc,К14,72,0,0
k15.asc,К15,111,1,123
k15_1.asc,К15,75,1,93
k15_2.asc,К15,69,1,123
k16.asc,К16,67,0,0
k16_2.asc,К16,70,1,171
k17.asc,К17,67,1,79
k17_1.asc,К17,67,2,192
k18.asc,К18,74,0,0
k18_2.asc,К18,75,0,0
k19.asc,К19,88,0,0
k19_1.asc,К19,78,0,0
k20.asc,К20,93,2,109
k20_2.asc,К20,94,0,0
k22.asc,К22,91,0,0
k22_1.asc,К22,85,1,137
k24.asc,К24,82,0,0
k24_1.asc,К24,84,0,0
k25.asc,К25,67,0,0
k25_2.asc,К25,72,1,83
